id,title,artist,language,genre,emotion,rating,year,search_query
1,Tum Hi Ho,Arijit Singh,Hindi,Bollywood Romantic,romantic,5.0,2013,Tum Hi Ho Arijit Singh Aashiqui 2
2,Raabta,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2017,Raabta Arijit Singh Agent Sai Srinivasa
3,Hawayein,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2017,Hawayein Arijit Singh Jab Harry Met Sejal
4,Pehla Nasha,Udit Narayan,Hindi,Classic Bollywood,romantic,4.9,1993,Pehla Nasha Jo Jeeta Wohi Sikandar
5,Gerua,Arijit Singh,Hindi,Bollywood,romantic,4.7,2015,Gerua Arijit Singh Dilwale
6,Phir Bhi Tumko Chahunga,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.9,2017,Phir Bhi Tumko Chahunga Half Girlfriend
7,Tera Ban Jaunga,Akhil Sachdeva,Hindi,Bollywood,romantic,4.7,2019,Tera Ban Jaunga Kabir Singh
8,Dil Diyan Gallan,Atif Aslam,Hindi,Bollywood Romantic,romantic,4.9,2017,Dil Diyan Gallan Tiger Zinda Hai
9,Janam Janam,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2015,Janam Janam Dilwale
10,Humsafar,Akhil Sachdeva,Hindi,Bollywood Romantic,romantic,4.8,2017,Humsafar Badrinath Ki Dulhania
11,Kesariya,Arijit Singh,Hindi,Bollywood Sufi,romantic,4.9,2022,Kesariya Brahmastra Arijit Singh
12,Shayad,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2020,Shayad Love Aaj Kal
13,Tera Fitoor,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.7,2017,Tera Fitoor Genius
14,Jeena Jeena,Atif Aslam,Hindi,Bollywood Romantic,romantic,4.7,2014,Jeena Jeena Badlapur
15,Ve Maahi,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2019,Ve Maahi Kesari
16,Pal,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.7,2018,Pal Jalebi Arijit Singh
17,Raataan Lambiyan,Jubin Nautiyal,Hindi,Bollywood Romantic,romantic,4.7,2021,Raataan Lambiyan Shershaah
18,Tere Vaaste,Varun Jain,Hindi,Bollywood Romantic,romantic,4.8,2023,Tere Vaaste Zara Hatke Zara Bachke
19,Apna Bana Le,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.7,2023,Apna Bana Le Bhediya
20,Zaalima,Arijit Singh,Hindi,Bollywood Romantic,romantic,4.8,2017,Zaalima Raees Arijit Singh
21,Roja Jaaneman,A R Rahman,Tamil,Film Romantic,romantic,4.9,1992,Roja Jaaneman AR Rahman Tamil
22,Munbe Vaa,Shreya Ghoshal,Tamil,Film Romantic,romantic,4.8,2006,Munbe Vaa Sillunu Oru Kaadhal
23,Ennodu Nee Irundhaal,A R Rahman,Tamil,Film Romantic,romantic,4.7,2015,Ennodu Nee Irundhaal I Tamil
24,Nenjukulle,A R Rahman,Tamil,Film Romantic,romantic,4.8,2012,Nenjukulle Kadal AR Rahman
25,Mannipaaya,Harris Jayaraj,Tamil,Film Romantic,romantic,4.8,2011,Mannipaaya Vinnaithaandi Varuvaayaa
26,Kadhal Rojave,A R Rahman,Tamil,Film Romantic,romantic,4.9,1994,Kadhal Rojave Roja AR Rahman
27,Vennilave Vennilave,S P Balasubrahmanyam,Tamil,Classic Tamil,romantic,4.9,1997,Vennilave Vennilave Minsara Kanavu
28,Kannamoochi Yenada,A R Rahman,Tamil,Film Romantic,romantic,4.7,1999,Kannamoochi Yenada Kandukondain
29,Neethanae,Harris Jayaraj,Tamil,Film Romantic,romantic,4.8,2012,Neethanae Minnale Harris Jayaraj
30,Yennai Maatrum Kadhale,Anirudh Ravichander,Tamil,Film Romantic,romantic,4.8,2023,Yennai Maatrum Kadhale Tamil
31,Inkem Inkem,Sid Sriram,Telugu,Film Romantic,romantic,4.9,2018,Inkem Inkem Geetha Govindam
32,Samajavaragamana,Sid Sriram,Telugu,Film Romantic,romantic,4.9,2019,Samajavaragamana Ala Vaikunthapurramuloo
33,Vachinde,Sid Sriram,Telugu,Film Romantic,romantic,4.8,2018,Vachinde Fidaa Telugu
34,Kanulu Kanulanu Dhochaaye,Hesham Abdul Wahab,Telugu,Film Romantic,romantic,4.8,2020,Kanulu Kanulanu Dhochaaye Geeta Govindam
35,Ye Maaya Chesave,M M Keeravani,Telugu,Film Romantic,romantic,4.8,2010,Ye Maaya Chesave title song
36,Geetanjali Title,Ilaiyaraaja,Telugu,Classic Telugu,romantic,4.9,1989,Geetanjali title song Telugu Ilaiyaraaja
37,Nee Himamaaga,S P Balasubrahmanyam,Telugu,Classic Telugu,romantic,4.8,1988,Nee Himamaaga Telugu
38,Mere Rashke Qamar,Rahat Fateh Ali Khan,Hindi,Ghazal,romantic,4.9,2017,Mere Rashke Qamar Rahat Fateh Ali Khan Baadshaho
39,Hothon Se Chhu Lo Tum,Jagjit Singh,Hindi,Ghazal,romantic,4.9,1990,Hothon Se Chhu Lo Tum Jagjit Singh
40,Tujhe Dekha Toh,Lata Mangeshkar,Hindi,Classic Romantic,romantic,4.9,1995,Tujhe Dekha Toh Dilwale Dulhania Le Jayenge
41,Gallan Goodiyan,Yashita Sharma,Hindi,Bollywood,happy,4.4,2015,Gallan Goodiyan Dil Dhadakne Do
42,Badtameez Dil,Benny Dayal,Hindi,Bollywood Dance,happy,4.9,2013,Badtameez Dil Yeh Jawaani Hai Deewani
43,Balam Pichkari,Vishal Dadlani,Hindi,Bollywood,happy,4.7,2013,Balam Pichkari Yeh Jawaani Hai Deewani
44,London Thumakda,Labh Janjua,Hindi,Bollywood Punjabi,happy,4.8,2014,London Thumakda Queen
45,Dil Chahta Hai,Shankar Mahadevan,Hindi,Bollywood Rock,happy,4.9,2001,Dil Chahta Hai title song
46,Abhi Toh Party Shuru Hui Hai,Badshah,Hindi,Bollywood Party,happy,4.7,2015,Abhi Toh Party Shuru Hui Hai Khoobsurat
47,Kala Chashma,Badshah,Hindi,Punjabi Pop,happy,4.6,2016,Kala Chashma Baar Baar Dekho
48,Malhari,Vishal Dadlani,Hindi,Bollywood Action,happy,4.9,2015,Malhari Bajirao Mastani
49,Aankh Marey,Mika Singh,Hindi,Bollywood Dance,happy,4.8,2018,Aankh Marey Simmba
50,Kar Gayi Chull,Badshah,Hindi,Bollywood Dance,happy,4.5,2016,Kar Gayi Chull Kapoor Sons
51,Swag Se Swagat,Vishal Dadlani,Hindi,Bollywood Action,happy,4.7,2017,Swag Se Swagat Tiger Zinda Hai
52,Ghungroo,Vishal Dadlani,Hindi,Bollywood Dance,happy,4.7,2019,Ghungroo War Hrithik Roshan
53,Ghoomar,Shreya Ghoshal,Hindi,Bollywood Folk Dance,happy,4.8,2018,Ghoomar Padmaavat Shreya Ghoshal
54,Rang Barse,Amitabh Bachchan,Hindi,Bollywood Folk,happy,4.8,1981,Rang Barse Silsila
55,Ek Pal Ka Jeena,Hrithik Roshan,Hindi,Bollywood Dance,happy,4.7,2000,Ek Pal Ka Jeena Kaho Naa Pyaar Hai
56,Bole Chudiyan,Kavita Krishnamurti,Hindi,Bollywood Dance,happy,4.7,2001,Bole Chudiyan K3G
57,Disco Deewane,Nazia Hassan,Hindi,Classic Pop,happy,4.7,1980,Disco Deewane Nazia Hassan
58,Aap Jaisa Koi,Nazia Hassan,Hindi,Classic Pop,happy,4.8,1980,Aap Jaisa Koi Nazia Hassan Qurbani
59,Papa Kehte Hain,Udit Narayan,Hindi,Bollywood Happy,happy,4.7,1988,Papa Kehte Hain Qayamat Se Qayamat Tak
60,Hawa Hawa,Hassan Jahangir,Hindi,Classic Pop,happy,4.7,1987,Hawa Hawa e Hawa Hassan Jahangir
61,Naatu Naatu,Rahul Sipligunj,Telugu,Film Dance,happy,4.9,2022,Naatu Naatu RRR Telugu
62,Buttabomma,Armaan Malik,Telugu,Film Happy,happy,4.8,2020,Buttabomma Ala Vaikunthapurramuloo
63,Ramuloo Ramulaa,Thaman S,Telugu,Film Dance,happy,4.8,2019,Ramuloo Ramulaa Ala Vaikunthapurramuloo
